Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10u,
"D1, D2, D3, D4, D5",0805,5,WHITE,
"D6, D7, D8",0805,3,RED,
J1,USB_A_Male_inboard,1,Conn_01x02_Pin,
"R1, R2",0805,2,50k,
"R10, R8, R9",0805,3,150,
R11,0805,1,5,
"R3, R4, R5, R6, R7",0805,5,390,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,NA555D,
